Raw Score,Total,DEP,ANS,O-K,PHO,SOM,S-I,HOS,PAR,PSI,ADD
0,39,41,43,38,43,41,40,41,42,42,42
1,39,42,46,40,48,44,42,45,45,45,45
2,40,44,50,42,53,46,44,49,49,48,48
3,40,46,53,45,58,48,47,53,53,52,51
4,40,48,56,47,62,50,49,57,57,55,54
5,41,50,59,49,67,53,52,61,61,59,57
6,41,51,62,51,72,55,54,64,65,62,60
7,42,53,65,54,77,57,56,68,68,65,63
8,42,55,68,56,82,59,59,72,72,69,66
9,42,57,71,58,87,62,61,76,76,72,69
10,43,59,74,60,92,64,63,80,80,75,71
11,43,61,77,62,96,66,66,84,84,79,74
12,43,62,80,65,101,68,68,88,87,82,77
13,44,64,83,67,106,71,71,92,91,85,80
14,44,66,86,69,111,73,73,96,95,89,83
15,44,68,89,71,116,75,75,100,99,92,86
16,45,70,92,74,121,77,78,104,103,95,89
17,45,71,95,76,126,80,80,107,106,99,92
18,45,73,98,78,130,82,82,111,110,102,95
19,46,75,101,80,135,84,85,115,114,106,98
20,46,77,104,82,140,86,87,119,118,109,101
21,46,79,107,85,145,89,90,123,122,112,104
22,47,80,110,87,150,91,92,127,126,116,107
23,47,82,114,89,155,93,94,131,129,119,110
24,47,84,117,91,160,95,97,135,133,122,113
25,48,86,120,94,164,98,99,,,126,116
26,48,88,123,96,169,100,101,,,129,119
27,48,90,126,98,174,102,104,,,132,122
28,49,91,129,100,179,104,106,,,136,125
29,49,93,132,102,,107,108,,,139,
30,49,95,135,105,,109,111,,,142,
31,50,97,138,107,,111,113,,,146,
32,50,99,141,109,,113,116,,,149,
33,50,100,144,111,,116,118,,,152,
34,51,102,147,114,,118,120,,,156,
35,51,104,150,116,,120,123,,,159,
36,51,106,153,118,,122,125,,,163,
37,52,108,156,120,,125,,,,166,
38,52,110,159,122,,127,,,,169,
39,52,111,162,125,,129,,,,173,
40,53,113,165,127,,131,,,,176,
41,53,115,,,,134,,,,,
42,53,117,,,,136,,,,,
43,54,119,,,,138,,,,,
44,54,120,,,,140,,,,,
45,54,122,,,,143,,,,,
46,55,124,,,,145,,,,,
47,55,126,,,,147,,,,,
48,55,128,,,,149,,,,,
49,56,129,,,,,,,,,
50,56,131,,,,,,,,,
51,56,133,,,,,,,,,
52,57,135,,,,,,,,,
53,57,,,,,,,,,,
54,57,,,,,,,,,,
55,58,,,,,,,,,,
56,58,,,,,,,,,,
57,58,,,,,,,,,,
58,59,,,,,,,,,,
59,59,,,,,,,,,,
60,59,,,,,,,,,,
61,60,,,,,,,,,,
62,60,,,,,,,,,,
63,60,,,,,,,,,,
64,61,,,,,,,,,,
65,61,,,,,,,,,,
66,61,,,,,,,,,,
67,62,,,,,,,,,,
68,62,,,,,,,,,,
69,63,,,,,,,,,,
70,63,,,,,,,,,,
71,63,,,,,,,,,,
72,64,,,,,,,,,,
73,64,,,,,,,,,,
74,64,,,,,,,,,,
75,65,,,,,,,,,,
76,65,,,,,,,,,,
77,65,,,,,,,,,,
78,66,,,,,,,,,,
79,66,,,,,,,,,,
80,66,,,,,,,,,,
81,67,,,,,,,,,,
82,67,,,,,,,,,,
83,67,,,,,,,,,,
84,68,,,,,,,,,,
85,68,,,,,,,,,,
86,68,,,,,,,,,,
87,69,,,,,,,,,,
88,69,,,,,,,,,,
89,69,,,,,,,,,,
90,70,,,,,,,,,,
91,70,,,,,,,,,,
92,70,,,,,,,,,,
93,71,,,,,,,,,,
94,71,,,,,,,,,,
95,71,,,,,,,,,,
96,72,,,,,,,,,,
97,72,,,,,,,,,,
98,72,,,,,,,,,,
99,73,,,,,,,,,,
100,,,,,,,,,,,
101,73,,,,,,,,,,
102,73,,,,,,,,,,
103,74,,,,,,,,,,
104,74,,,,,,,,,,
105,74,,,,,,,,,,
106,75,,,,,,,,,,
107,75,,,,,,,,,,
108,76,,,,,,,,,,
109,76,,,,,,,,,,
